Modo,m,n,Frequencia_de_corte_GHz
TE,1,1,8.784923322365323
TM,0,1,11.474252783521006
TE,2,1,14.572818582659272
TE,0,1,18.282391732568904
TM,1,1,18.282391732568904
TE,3,1,20.045322517684628
TM,2,1,24.503826609556825
TE,4,1,25.371881367126132
TE,1,2,25.438153669207434
TM,0,2,26.338197970124394
TM,3,1,30.441954577264891
TE,5,1,30.611120137718597
TE,2,2,31.997276153146139
TE,0,2,33.473785496231969
TM,1,2,33.473785496231969
TE,6,1,35.791129907586672
TM,4,1,36.206600941501996
TE,3,2,38.243460343799875
TM,2,2,40.161577083412404
TE,1,3,40.729711772281433
TE,7,1,40.927818611923250
TM,0,3,41.289922786621567
TM,5,1,41.851776844605702
TE,4,2,44.289516581706550
TE,8,1,46.031178598374581
TM,3,2,46.573210460437856
TM,6,1,47.408608080024123
TE,2,3,47.567772037857459
TM,1,3,48.541127938882795
TE,0,3,48.541127938882795
TE,5,2,50.193887255919620
TE,9,1,51.107948624585326
TM,4,2,52.793548056323189
TM,7,1,52.896897924834597
TE,3,3,54.135321037132385
TM,2,3,55.442272927835532
TE,1,4,55.853389825986547
TE,6,2,55.991429853505878
TE,10,1,56.162915443024346
TM,0,4,56.261480765566482
TM,8,1,58.330134795083602
TM,5,2,58.871739409324526
TE,4,3,60.509762457671172
TE,7,2,61.704878469719795
TM,3,3,62.100014959972981
TE,2,4,62.840385229207840
TE,0,4,63.571933023497145
TM,1,4,63.571933023497145
TM,9,1,63.717976938006643
TM,6,2,64.839193872677996
TE,5,3,66.737704761753918
TE,8,2,67.350012811300516
TM,4,3,68.576333274078010
TM,10,1,69.067610128323039
TE,3,4,69.594116613567493
TM,2,4,70.596592913024907
TM,7,2,70.717388794384163
TE,1,5,70.919311677291077
TM,0,5,71.240561931358343
TE,6,3,72.849763704760548
TE,9,2,72.938301769554101
TM,5,3,74.910949594409587
TE,4,4,76.170264836020834
TM,8,2,76.521756250627249
TM,3,4,77.407756730081303
TE,2,5,77.999671479042505
TE,10,2,78.478382591333087
TE,0,5,78.587060962837512
TM,1,5,78.587060962837512
TE,7,3,78.867309897630463
TM,6,3,81.131092660571852
TM,9,2,82.263813411326794
TE,5,4,82.605547197199968
TM,4,4,84.051854337018597
TE,8,3,84.805947867098652
TE,3,5,84.876256019642724
TM,2,5,85.692497808179425
TE,1,6,85.958301658705082
TM,0,6,86.223283585552906
TM,7,3,87.256369821906290
TM,10,2,87.952417635351040
TE,6,4,88.925673484725237
TM,5,4,90.560769887008817
TE,9,3,90.677475380544564
TE,4,5,91.590879091686261
TM,3,5,92.609019384270496
TE,2,6,93.102841947337737
TM,8,3,93.301442741160216
TM,1,6,93.594031548199439
TE,0,6,93.594031548199439
TE,7,4,95.149465526593133
TE,10,3,96.491063035995438
TM,6,4,96.957499246024810
TE,5,5,98.172881610428746
TM,9,3,99.277606747316995
TM,4,5,99.372485745954833
TE,3,6,100.066926308357566
TM,2,6,100.756481666556539
TE,1,7,100.982513675940680
TM,0,7,101.208039753467403
TE,8,4,101.291185180688160
TM,7,4,103.259261983481366
TE,6,5,104.643782283954849
TM,10,3,105.193776895618555
TM,5,5,106.008791985352630
TE,4,6,106.883056872348462
TE,9,4,107.361939891069071
TM,3,6,107.749997526415726
TE,2,7,108.173941942354659
TM,1,7,108.596218433165646
TE,0,7,108.596218433165646
TM,8,4,109.479340750623507
TE,7,5,111.019911695522296
TM,6,5,112.537349797065048
TE,10,4,113.370576600177799
TE,5,6,113.575103250848272
TM,4,6,114.603032539134233
TE,3,7,115.203639486784084
TM,9,4,115.628231114071582
TM,2,7,115.801082901503932
TE,1,8,115.997731714779704
TM,0,8,116.194047153696118
TE,8,5,117.314005705544574
TM,7,5,118.973147472770904
TE,6,6,120.161201499755848
TM,5,6,121.336935163944489
TM,10,4,121.714393416494374
TE,4,7,122.097575981821279
TM,3,7,122.853390539906925
TE,2,8,123.224937298730595
TE,9,5,123.536220501307824
TE,0,8,123.595360421719050
TM,1,8,123.595360421719050
TM,8,5,125.328038886752211
TE,7,6,126.655510229971341
TM,6,6,127.968202336049075
TE,5,7,128.875501837561046
TE,10,5,129.694806832034885
TM,4,7,129.776235747875376
TE,3,8,130.305712703760975
TM,2,8,130.833020871219333
TE,1,9,131.007065329147451
TM,0,9,131.180878567242161
TM,9,5,131.611587090951105
TE,8,6,133.069330679728353
TM,7,6,134.509890589291530
TE,6,7,135.552848922266605
TM,5,7,136.587476685817194
TE,4,8,137.261276078884237
TM,10,5,137.831637172437979
TM,3,8,137.931719560074498
TE,2,9,138.262478711375508
TE,0,9,138.592444721261018
TM,1,9,138.592444721261018
TE,9,6,139.411851515277220
TM,8,6,140.972540247681053
TE,7,7,142.141944042479963
TM,6,7,143.301255923029174
TE,5,8,144.108217748163099
TM,4,8,144.910560413647914
TE,3,9,145.384169569542195
TE,10,6,145.690661447729042
TM,2,9,145.856225891406325
TE,1,10,146.012337038986459
TM,0,10,146.168281278281654
TM,9,6,147.364803428717977
TE,8,7,148.652816548315315
TM,7,7,149.928996958965058
TE,6,8,150.859798243393044
TM,5,8,151.784680598302174
TE,4,9,152.389795077649097
TM,3,9,152.992478314252651
TE,2,10,153.290566258215193
TM,1,10,153.588073420614336
TE,0,10,153.588073420614336
TM,10,6,153.693884148535801
TE,9,7,155.093754604556409
TM,8,7,156.480081751471914
TE,7,8,157.526812791868167
TM,6,8,158.566312941879772
TE,5,9,159.293476146061124
TM,4,9,160.017259675951323
TE,3,10,160.445781203243598
TM,2,10,160.873152146647641
TE,10,7,161.471699580256029
TM,9,7,162.962325773735074
TE,8,8,164.118187146497746
TM,7,8,165.265508610053416
TE,6,9,166.106714092240850
TM,5,9,166.943552257395567
TE,4,10,167.492902908715450
TM,3,10,168.040434143427120
TM,10,7,169.382319940411492
TE,9,8,170.641400266824263
TM,8,8,171.890644043527516
TE,7,9,172.839022777812431
TM,6,9,173.782027233777683
TE,5,10,174.444089634234587
TM,4,10,175.103601384466828
TE,10,8,177.102791642011653
TM,9,8,178.448785980983729
TE,8,9,179.498377266295734
TM,7,9,180.541581016413289
TE,6,10,181.309402650056029
TM,5,10,182.073904140259827
TM,10,8,184.945960278046130
TE,9,9,186.091540180748041
TM,8,9,187.229721588082185
TE,7,10,188.097278978331389
TM,6,10,188.960724677993028
TE,10,9,192.624304194685891
TM,9,9,193.852853113779418
TE,8,10,194.814875404290945
TM,7,10,195.771983433093141
TM,10,9,200.416489753411639
TE,9,10,201.468324177104819
TM,8,10,202.514438323064496
TE,10,10,208.062926622180555
TM,9,10,209.193909669472390
TM,10,10,215.815452143568962
